REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,country_std,MeanAltitude_m,USD_per_kg,WSS,CQE,AltitudeBand
0,Arabica,Africa,Ethiopia,2014.0,04/03/16,,Green,Washed,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,0,0,0,Ethiopia,1330.0,2.4390243902439024,81.84,33.5544,Mid
1,Arabica,Africa,Ethiopia,2014.0,04/03/16,Other,Green,Washed,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,0,0,1,Ethiopia,1330.0,2.4390243902439024,80.84,33.144400000000005,Mid
3,Arabica,Africa,Ethiopia,2014.0,03/25/16,,Green,Natural,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,0,0,2,Ethiopia,1330.0,2.4390243902439024,79.34,32.5294,Mid
4,Arabica,Africa,Ethiopia,2014.0,04/03/16,Other,Green,Washed,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,0,0,2,Ethiopia,1330.0,2.4390243902439024,79.25,32.4925,Mid
6,Arabica,South America,Peru,2012.0,09/17/13,Other,Bluish-Green,Washed,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,0,0,0,Peru,1555.0,37.63897972531066,80.25,2.1320981754995656,Mid
9,Arabica,Africa,Ethiopia,2014.0,03/29/16,Other,Green,Natural,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,0,0,4,Ethiopia,1330.0,2.4390243902439024,77.75,31.8775,Mid
10,Arabica,Africa,Ethiopia,2014.0,03/26/16,,,Natural,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0.1,0,0,1,Ethiopia,1330.0,2.4390243902439024,79.01,32.3941,Mid
11,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,79.42,25.012549572090208,Low
12,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,79.58,25.062940001850148,Low
15,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,79.42,25.012549572090208,Low
19,Arabica,Africa,Ethiopia,2014.0,03/24/16,Ethiopian Yirgacheffe,,Natural,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0.0,0,0,8,Ethiopia,1330.0,2.4390243902439024,74.91999999999999,30.717199999999995,Mid
20,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,79.08,24.905469908850336,Low
21,Arabica,North America,Costa Rica,2014.0,04/02/15,Caturra,Green,Washed,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,0,0,2,Costa Rica,746.0,1.6512292714600734,77.83,47.13458109374481,Low
22,Arabica,North America,Mexico,2012.0,07/26/13,Other,Green,Washed,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,0,0,0,Mexico,1111.0,3.033154552983397,78.59,25.91031832608043,Low
23,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,78.92,24.855079479090396,Low
24,Arabica,Africa,Ethiopia,2013.0,09/03/14,,Bluish-Green,Natural,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0.11,0,0,1,Ethiopia,1330.0,2.4390243902439024,78.50999999999999,32.189099999999996,Mid
27,Arabica,Africa,Uganda,2013.0,06/26/15,SL14,Green,Washed,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0.12,0,0,1,Uganda,1100.0,1.4662288807336235,78.18,53.3204611007818,Low
31,Arabica,Africa,Tanzania,2012.0,09/03/14,,Bluish-Green,Natural,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,0.11,0,0,1,Tanzania,1020.0,0.4883227176220807,77.84,159.40278260869565,Low
33,Arabica,North America,Costa Rica,2015.0,12/02/16,Caturra,Blue-Green,Washed,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0.0,0,0,0,Costa Rica,746.0,1.6512292714600734,77.91,47.18302984727815,Low
34,Arabica,Africa,Ethiopia,2014.0,03/26/16,,Green,Natural,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,0.1,0,0,3,Ethiopia,1330.0,2.4390243902439024,76.66,31.4306,Mid
35,Arabica,Africa,Kenya,2013.0,05/30/15,SL34,Blue-Green,Washed,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0.12,0,0,1,Kenya,762.0,3.4132938673832114,77.67,22.755145914097753,Low
36,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,,Natural,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,0.0,0,1,4,United States,760.0,3.175206100885427,75.42,23.75278882809171,Low
39,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,0.0,0,0,0,United States,760.0,3.175206100885427,78.09,24.593679124710707,Low
44,Arabica,Africa,Kenya,2014.0,01/29/16,SL28,Bluish-Green,Natural,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,0.11,0,0,2,Kenya,762.0,3.4132938673832114,77.07,22.57936263164045,Low
46,Arabica,Africa,Uganda,2014.0,10/01/15,,,Honey,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,0.0,0,0,0,Uganda,1100.0,1.4662288807336235,77.91,53.1363152259134,Low
47,Arabica,South America,Colombia,2013.0,03/20/15,Caturra,Green,Washed,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,0.12,0,1,1,Colombia,593.0,1.560655169120493,76.83,49.2293246581162,Low
48,Arabica,Africa,Kenya,2013.0,02/06/15,SL28,Green,Washed,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1,Kenya,762.0,3.4132938673832114,77.34,22.65846510874624,Low
49,Arabica,Africa,Uganda,2012.0,02/12/13,Other,Blue-Green,Washed,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,0.1,0,0,0,Uganda,1100.0,1.4662288807336235,78.08,53.25225892490461,Low
