Reporter,Trade Value 1000USD,Quantity
European Union,        7551794.08,2.99072e+009
United States,        4414457.29,1.39029e+009
Germany,        2611475.76,1.08259e+009
Italy,        1497041.45,6.05497e+008
Japan,        1145549.30,3.99042e+008
Canada,         622819.46,1.96663e+008
France,         601926.27,1.9845e+008
Switzerland,         596982.66,
Spain,         596684.91,2.61461e+008
Netherlands,         549746.85,1.90282e+008
United Kingdom,         533516.81,1.92584e+008
"Korea, Rep.",         441824.47,1.43784e+008
Russian Federation,         387082.63,1.68475e+008
Belgium,         351337.63,1.31664e+008
Sweden,         322957.36,1.06599e+008
Australia,         294425.13,9.10766e+007
Poland,         288803.28,1.2257e+008
Malaysia,         221622.55,1.023e+008
Finland,         190210.77,6.12294e+007
Saudi Arabia,         163727.39,5.39794e+007
Turkey,         149877.40,
Portugal,         147628.95,5.79991e+007
Indonesia,         147122.55,7.78122e+007
China,         136305.30,5.09963e+007
India,         133513.49,8.38734e+007
Thailand,         119327.51,6.26503e+007
"Other Asia, nes",         108424.99,2.90933e+007
"Egypt, Arab Rep.",         104758.11,3.45378e+007
Morocco,         104636.17,5.20406e+007
Greece,         101819.75,3.21124e+007
Norway,         101133.36,3.12462e+007
Colombia,          93143.49,5.96823e+007
Vietnam,          83524.20,2.75372e+007
Philippines,          81938.58,4.03372e+007
Jordan,          75876.29,2.2433e+007
Lebanon,          69544.40,2.88553e+007
Bulgaria,          68333.28,2.9802e+007
"Serbia, FR(Serbia/Montenegro)",          64252.34,2.80093e+007
Argentina,          64225.36,2.75766e+007
Tunisia,          63826.80,3.09423e+007
Sudan,          61661.69,1.88627e+007
Ukraine,          59184.11,2.43907e+007
Israel,          56509.00,1.86305e+007
South Africa,          54828.18,2.13131e+007
New Zealand,          54288.86,1.36682e+007
Ireland,          53558.70,1.2351e+007
Denmark,          50113.13,1.69974e+007
Czech Republic,          49472.85,1.81108e+007
Austria,          48836.03,1.65068e+007
Bosnia and Herzegovina,          47821.45,2.06821e+007
Slovenia,          47285.64,1.87532e+007
Romania,          46368.06,1.77099e+007
Singapore,          38976.38,1.20964e+007
United Arab Emirates,          37511.84,1.2946e+007
Dominican Republic,          34963.84,
Croatia,          34961.18,1.5595e+007
Cuba,          31692.60,1.08586e+007
Mexico,          30764.68,1.01428e+007
Chile,          27622.19,
"Iran, Islamic Rep.",          25892.64,1.02981e+007
Armenia,          23748.61,1.16809e+007
Libya,          23097.51,9.73203e+006
Occ.Pal.Terr,          21392.51,7.05291e+006
Kuwait,          21112.98,6.99373e+006
Slovak Republic,          16008.90,5.2256e+006
North Macedonia,          14990.55,6.38819e+006
"Hong Kong, China",          13257.71,4.21558e+006
Albania,          11622.68,4.66634e+006
Georgia,          10420.27,4.9156e+006
Cyprus,           9825.42,3.03577e+006
Hungary,           9451.23,2.91874e+006
Oman,           8785.89,3.83969e+006
Latvia,           8589.89,3.04435e+006
Costa Rica,           7832.54,4.74346e+006
Uganda,           6696.15,4.56692e+006
Lithuania,           6562.07,1.64325e+006
Montenegro,           5896.38,2.57606e+006
Belarus,           5070.20,1.90026e+006
Madagascar,           4941.32,2.51185e+006
Kenya,           4877.87,1.42908e+006
Panama,           4686.68,1.96152e+006
Luxembourg,           4251.54,821147
Iceland,           3777.67,931042
Qatar,           3556.16,1.00219e+006
Maldives,           3218.99,
Uruguay,           3005.19,1.20277e+006
Ecuador,           2725.57,1.52271e+006
Macao,           2658.08,684712
Namibia,           2455.64,809600
Cape Verde,           2032.06,699515
Paraguay,           1978.44,920862
Botswana,           1970.38,110446
Senegal,           1377.52,3.77331e+006
East Timor,           1328.87,818075
Bahrain,           1064.13,292970
"Bahamas, The",            901.65,181103
Trinidad and Tobago,            782.68,273556
Jamaica,            775.32,216023
Yemen,            713.58,204236
Cambodia,            706.43,232903
Kazakhstan,            687.69,165767
Bermuda,            656.43,85161.1
Eswatini,            629.70,162935
Rwanda,            570.58,648048
Barbados,            480.24,69749
Aruba,            433.93,45158.7
Angola,            432.23,42197.2
Estonia,            417.24,86028.9
Curaçao,            393.91,60744.6
Myanmar,            389.68,173479
Nepal,            368.96,120613
French Polynesia,            320.25,82890
Mauritania,            274.90,768544
Nigeria,            270.56,313448
Uzbekistan,            265.18,60370
Andorra,            253.54,89964.5
Fiji,            252.17,39348.4
El Salvador,            236.23,
Mauritius,            229.25,63515
Antigua and Barbuda,            216.65,36370.9
Mongolia,            209.70,48437.2
Mali,            178.83,195253
Malta,            172.41,36529
Zambia,            157.91,39869.2
Mozambique,            149.37,32700
Benin,            132.34,161324
Guatemala,            117.47,11199
Belize,            114.25,38552.7
Moldova,            112.93,20703
Kyrgyz Republic,            109.52,28509
Honduras,            103.19,83889.2
"Congo, Rep.",             95.42,42328
Lesotho,             89.63,
Seychelles,             83.34,8740.74
Grenada,             80.23,6782
Samoa,             79.70,21992.3
Brunei,             71.37,21702
Azerbaijan,             69.20,9839.4
Gabon,             53.46,59989
Ghana,             47.62,16007.7
Burkina Faso,             40.76,466685
Peru,             34.53,917.4
Greenland,             33.29,3536
"Gambia, The",             33.03,77696
Pakistan,             32.17,4450
St. Lucia,             28.73,1891.06
Niger,             26.89,27386
Kiribati,             17.32,923.605
Guyana,             17.21,3396.32
Comoros,             14.56,9166
Cote d'Ivoire,             13.33,3986
Cameroon,             11.91,11767
Tajikistan,             11.88,2695
Papua New Guinea,             11.17,6088
Brazil,             10.68,421133
"Congo, Dem. Rep.",              7.88,14796
St. Vincent and the Grenadines,              7.43,1333.67
Palau,              6.31,702.93
Sao Tome and Principe,              5.96,567.8
Solomon Islands,              5.19,1711.14
Malawi,              3.47,2995
Dominica,              2.71,447
Nicaragua,              1.88,174.75
Suriname,              1.37,2076
Montserrat,              1.23,168
Ethiopia,              0.90,369
Burundi,              0.68,484
Bolivia,              0.65,337
Liberia,              0.64,
Tanzania,              0.23,471
Sierra Leone,              0.11,198
Zimbabwe,              0.04,11
